biz_name,biz_info,e_address,e_city,e_state,e_postal,e_country,loc_county,loc_LAT_poly,loc_LONG_poly,biz_phone,web_url,f_emergency,biz_bedcount
ZUNI INDIAN HOSPITAL,A,ROUTE 301 NORTH B STREET,Zuni Pueblo,NM,87327,USA,McKinley,35.0694767,-108.8484168,(505) 782-4431,,TRUE,30
MIDWESTERN REGION MED CENTER,A,2520 Elisha Ave,Zion,IL,60099,USA,Lake,42.44939,-87.827004,(847) 872-4561,http://www.cancercenter.com,TRUE,70
FLORIDA HOSPITAL ZEPHYRHILLS,A,7050 Gall Blvd,Zephyrhills,FL,33541,USA,Pasco,28.260741,-82.187914,(813) 788-0411,http://www.epmc.org,TRUE,139
ZEELAND COMMUNITY HOSPITAL,A,8333 Felch St,Zeeland,MI,49464,USA,Ottawa,42.819682,-85.988041,(616) 772-4644,http://www.zch.org,TRUE,57
GENESIS HEALTHCARE SYSTEM,A,2951 Maple Ave,Zanesville,OH,43701,USA,Muskingum,39.975939,-82.014845,(740) 454-5000,,TRUE,393
LANE REGIONAL MEDICAL CENTER,A,6300 Main St,Zachary,LA,70791,USA,East Baton Rouge,30.649991,-91.137557,(225) 658-4303,http://www.lanehospital.org,TRUE,137
YUMA REGIONAL MEDICAL CENTER,A,2400 S Avenue a,Yuma,AZ,85364,USA,Yuma,32.6838,-114.633396,(928) 336-7275,http://www.yumaregional.org,TRUE,257
YUMA DISTRICT HOSPITAL - CAH,C,1000 W 8th Ave,Yuma,CO,80759,USA,Yuma,40.118329,-102.736293,(970) 848-5405,,TRUE,
INTEGRIS CANADIAN VALLEY  HOSPITAL,A,1201 Health Center Pky,Yukon,OK,73099,USA,Canadian,35.483654,-97.762476,(405) 717-7999,,TRUE,
SUTTER SURGICAL HOSPITAL - NORTH VALLEY,A,455 Plumas Blvd,Yuba City,CA,95991,USA,Sutter,39.132452,-121.613503,(530) 749-5700,,TRUE,
FAIRCHILD MEDICAL CENTER,C,444 Bruce St,Yreka,CA,96097,USA,Siskiyou,41.718752,-122.645831,(530) 842-4121,,TRUE,
ST ELIZABETH HEALTH CENTER,A,1044 Belmont Ave,Youngstown,OH,44504,USA,Mahoning,41.114421,-80.655915,(330) 746-7211,http://www.hmhs.org,TRUE,374
NORTHSIDE MEDICAL CENTER,A,500 Gypsy Ln,Youngstown,OH,44504,USA,Mahoning,41.133747,-80.659243,(330) 884-1000,http://www.forumhealth.org,TRUE,373
ST ELIZABETH BOARDMAN HEALTH CENTER,A,8401 Market St,Youngstown,OH,44512,USA,Mahoning,40.995162,-80.662592,(330) 729-2929,,TRUE,
SURGICAL HOSPITAL AT SOUTHWOODS,A,7630 Southern Blvd,Youngstown,OH,44512,USA,Mahoning,41.014762,-80.653484,(330) 758-1954,,TRUE,
HILL HOSPITAL OF SUMTER COUNTY,A,751 Derby Dr,York,AL,36925,USA,Sumter,32.491855,-88.295722,(205) 392-5263,,TRUE,
YORK HOSPITAL,A,15 Hospital Dr,York,ME,3909,USA,York,43.142596,-70.65111,(207) 363-4321,http://www.yorkhospital.com,TRUE,79
YORK GENERAL HOSPITAL,C,2222 S Lincoln Ave,York,NE,68467,USA,York,40.841672,-97.598285,(402) 362-6671,,TRUE,
YORK HOSPITAL,A,1001 S George St,York,PA,17403,USA,York,39.94646,-76.720192,(717) 851-2345,,TRUE,
MEMORIAL HOSPITAL YORK,A,325 S Belmont St,York,PA,17403,USA,York,39.967635,-76.69382,(717) 843-8623,http://www.mhyork.org,TRUE,0
ST JOSEPH'S MEDICAL CENTER,A,127 S Broadway,Yonkers,NY,10701,USA,Westchester,40.929608,-73.897016,(914) 378-7000,http://www.stjosephs.org,TRUE,194
ST JOHN'S RIVERSIDE HOSPITAL,A,976 N Broadway,Yonkers,NY,10701,USA,Westchester,40.967402,-73.885038,(914) 964-4444,http://www.riversidehealth.org,TRUE,234
YOAKUM COMMUNITY HOSPITAL,C,Carl Ramert Dr,Yoakum,TX,77995,USA,Lavaca,29.301486,-97.124332,(361) 293-2321,,TRUE,
HOSPITAL METROPOLITANO DR TITO MATTEI,A,ROAD 128 KM 1.0,YAUCO,PR,698,USA,Yauco,,,(787) 856-1000,,TRUE,106
AVERA SACRED HEART HOSPITAL,A,501 Summit St,Yankton,SD,57078,USA,Yankton,42.872921,-97.407422,(605) 668-8000,http://www.averasacredheart.com,TRUE,331
LEWIS AND CLARK SPECIALTY HOSPITAL,A,2601 Fox Run Pky,Yankton,SD,57078,USA,Yankton,42.899692,-97.399444,(605) 665-5100,,TRUE,
YAKIMA REGIONAL MEDICAL AND CARDIAC CENTER,A,110 S 9th Ave,Yakima,WA,98902,USA,Yakima,46.597116,-120.520693,(509) 575-5102,http://www.providence.org,TRUE,190
YAKIMA VALLEY MEMORIAL HOSPITAL,A,2811 Tieton Dr,Yakima,WA,98902,USA,Yakima,46.592839,-120.5464,(509) 575-8000,http://www.yvmh.org,TRUE,305
YADKIN VALLEY COMMUNITY HOSPITAL,C,624 W Main St,Yadkinville,NC,27055,USA,Yadkin,36.13457,-80.671396,(336) 679-2041,,TRUE,
GREENE MEMORIAL HOSPITAL,A,1141 N Monroe Dr,Xenia,OH,45385,USA,Greene,39.69985,-83.928517,(937) 352-2000,http://www.greene-memorial.org,TRUE,150
WYTHE COUNTY COMMUNITY HOSPITAL,A,600 W Ridge Rd,Wytheville,VA,24382,USA,Wythe,36.953379,-81.095454,(276) 228-0200,,TRUE,
SURGICAL INSTITUTE OF READING,A,2752 Century Blvd,Wyomissing,PA,19610,USA,Berks,40.358538,-75.988051,(717) 999-9999,,TRUE,
METRO HEALTH HOSPITAL,A,5900 Byron Center Ave SW,Wyoming,MI,49519,USA,Kent,42.857309,-85.722794,(616) 252-7200,http://www.metrohealth.net,TRUE,214
FAIRVIEW LAKES  HEALTH SERVICES,A,5200 Fairview Blvd,Wyoming,MN,55092,USA,Chisago,45.322679,-92.997481,(651) 982-7000,http://www.fairview.org,TRUE,38
MAIN LINE HOSPITAL LANKENAU,A,100 E Lancaster Ave,Wynnewood,PA,19096,USA,Montgomery,39.989672,-75.25668,(610) 645-2000,http://www.mainlinehealth.org/lh/,TRUE,314
